Date,Weight
2018-10-14,132.0
2018-10-15,133.0
2018-10-17,135.0
2018-10-18,135.2
2018-10-21,135.4
2018-10-22,137.0
2018-10-23,138.4
2018-10-25,138.8
2018-10-29,140.2
2018-10-31,139.8
2018-11-04,142.8
2018-11-05,143.0
2018-11-15,143.6
2018-11-16,144.6
2018-11-20,145.0
2018-11-27,146.4
2019-02-16,147.0
2019-02-22,150.0
2019-08-26,145.0
2019-08-29,147.0
2019-09-04,150.8
2019-09-21,151.0
2019-11-21,153.0
2019-12-13,155.2
2020-03-17,156.2
2020-07-08,148.6
2020-11-13,156.6
2020-11-17,157.6
2020-11-21,160.0
2021-02-17,165.0
